sample_id	contig_id	Prediction_tool	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_count	domain_array	backbone_class
GCA_024412275.1	contig_13	deepBGC	Polyketide	0.62602		807	6397	5590	5	PF00899|PF01051|PF02661|PF05977|PF07690|PF12832	Unknown
GCA_024412275.1	contig_6	deepBGC		0.52995		7316	8102	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_024407395.1	contig_6	deepBGC		0.59518		4256	8006	3750	3	PF00133|PF01406|PF01588|PF08003|PF08241|PF08242|PF09334|PF13489|PF13649|PF13847	Unknown
GCA_024411835.1	contig_11	deepBGC		0.69635		37742	46308	8566	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_040821085.1	contig_20	deepBGC	Polyketide	0.7473		225	20291	20066	18	PF00106|PF00107|PF00266|PF00268|PF00398|PF00479|PF00920|PF01041|PF01073|PF01081|PF01135|PF01182|PF01262|PF01370|PF01416|PF01501|PF01856|PF02685|PF02719|PF02781|PF02826|PF03446|PF03739|PF04321|PF07719|PF07993|PF08238|PF08240|PF08659|PF13489|PF13561|PF13649|PF13847|PF16363	NRPS_like|RiPP
GCF_040821085.1	contig_60	deepBGC		0.53496		266	1724	1458	1	PF01075|PF02350	Unknown
GCF_040821085.1	contig_66	deepBGC	Other	0.62551		34070	39170	5100	4	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_040821085.1	contig_66	deepBGC		0.54008		40802	42650	1848	1	PF02784	Unknown
GCF_040821085.1	contig_66	deepBGC		0.52999		53778	55357	1579	5	PF13519|PF13672	Unknown
GCF_014496915	contig_12	GECCO	Unknown	0.994516952988648		5521	9217	3696	5	PF01041|PF06306	Unknown
GCF_001998295.1	contig_15	antiSMASH	Terpene-precursor		No	1	7995	7995	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_015905075.1	contig_11	deepBGC		0.54786		10215	11001	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_015905075.1	contig_14	deepBGC	NRP	0.56497		1	4349	4348	4	PF00107|PF01262|PF01501|PF02685|PF02826|PF03446|PF08240	NRPS_like
GCF_015905075.1	contig_14	deepBGC		0.51985		5028	8843	3815	3	PF00479|PF00920|PF01081|PF02781	Unknown
GCF_015905075.1	contig_14	deepBGC	Polyketide	0.51915		9997	10750	753	1	PF00106|PF01370|PF08659|PF13561	Unknown
GCF_015905075.1	contig_14	deepBGC		0.63053		15666	16296	630	1	PF00398|PF01135|PF13489|PF13649|PF13847	RiPP
GCF_040821065.1	contig_18	deepBGC		0.57123		10891	15342	4451	2	PF01968|PF02538|PF05378	Unknown
GCF_040821065.1	contig_18	deepBGC	Polyketide	0.54195		18094	20599	2505	3	PF00108|PF00109|PF01144|PF02803|PF13336	PKS
GCF_040821065.1	contig_19	deepBGC		0.74071		10983	19535	8552	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_040821065.1	contig_30	deepBGC		0.54884		1685	2429	744	1	PF00106|PF08659|PF13561	Unknown
GCF_040821065.1	contig_38	deepBGC	NRP	0.61738		50	2930	2880	3	PF00425|PF01063|PF01817|PF09924	Unknown
GCF_040821065.1	contig_51	deepBGC		0.57851		1	484	483	1	PF01531	Unknown
GCF_040821065.1	contig_67	deepBGC		0.50799		3915	4329	414	1	PF00334	Unknown
GCF_040821065.1	contig_67	deepBGC		0.66486		5983	6979	996	1	PF00108|PF00195|PF07451|PF08541|PF08545	Unknown
GCF_040821065.1	contig_82	deepBGC		0.54003		2012	3116	1104	1	PF01501	NRPS_like
GCF_040821065.1	contig_89	deepBGC		0.59079		245	3656	3411	3	PF00490|PF01709|PF08238	Unknown
GCF_037861895.1	contig_17	antiSMASH	Terpene-precursor		No	1	7890	7890	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003939085.1	contig_1	antiSMASH	Terpene-precursor		Yes	989307	1010218	20912	17	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821405.1	contig_31	antiSMASH	Terpene-precursor		No	1	8296	8296	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_040857565.1	contig_4	deepBGC		0.57088		4208	4994	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_024406855.1	contig_36	antiSMASH	Terpene-precursor		No	1	62835	62835	67	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639195.1	contig_17	deepBGC	Polyketide	0.60387		0	5437	5437	6	PF00899|PF05713|PF05977|PF07690|PF09559|PF12832	Unknown
GCF_003639195.1	contig_2	deepBGC		0.5397		43642	44839	1197	2	PF01209|PF03653|PF05425|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_003639195.1	contig_23	deepBGC		0.50887		57534	58278	744	1	PF00106|PF08659|PF13561	Unknown
GCF_003639195.1	contig_4	deepBGC		0.74949		37667	46248	8581	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_015904875.1	contig_25	antiSMASH	Terpene-precursor		No	1	8137	8137	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_015904385.1	contig_18	deepBGC		0.53832		4141	4927	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_024409255.1	contig_21	antiSMASH	Terpene-precursor		No	1	57286	57286	55	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Peptidase_M50|QueE	Terpene
GCA_024407165.1	contig_24	antiSMASH	Terpene-precursor		No	1	7932	7932	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011140845.1	contig_30	antiSMASH	Terpene-precursor		No	1	61573	61573	56	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011175075.1	contig_14	deepBGC		0.5075		8246	9044	798	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_011175075.1	contig_2	deepBGC		0.65138		11998	12967	969	1	PF05050	Unknown
GCF_011175075.1	contig_2	deepBGC		0.58625		17763	28032	10269	9	PF00106|PF00398|PF00920|PF01073|PF01081|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07719|PF07993|PF08238|PF08659|PF13460|PF13561|PF13649|PF13847|PF16363	RiPP
GCF_011175075.1	contig_2	deepBGC	NRP	0.55139		31224	33080	1856	2	PF00107|PF01262|PF01501|PF02826|PF03446|PF08240	NRPS_like
GCA_024406935.1	contig_27	deepBGC		0.63257		49952	52127	2175	4	PF00106|PF00109|PF00550|PF08659|PF10501|PF13561|PF14573|PF16320	PKS
GCA_024407335.1	contig_32	antiSMASH	Terpene-precursor		No	1	56540	56540	57	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011175295.1	contig_19	antiSMASH	Terpene-precursor		No	1	9322	9322	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011175295.1	contig_30	antiSMASH	Azole-containing-RiPP		Yes	41431	63586	22156	13	PF00881|YcaO	Unknown
GCF_014496155.1	contig_16	deepBGC		0.53083		2150	3254	1104	1	PF01501	NRPS_like
GCF_014496155.1	contig_5	deepBGC	Saccharide	0.81473		37899	46466	8567	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014498605.1	contig_18	antiSMASH	Azole-containing-RiPP		No	1	13587	13587	12	PF00881|YcaO	Unknown
GCF_014498605.1	contig_4	antiSMASH	Terpene-precursor		No	1	59195	59195	56	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_040862485.1	contig_12	deepBGC		0.5718		4218	5016	798	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040862485.1	contig_21	deepBGC		0.51003		543	1941	1398	1	PF02521	Unknown
GCF_011140795.1	contig_24	deepBGC		0.50028		10415	11201	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_011140795.1	contig_24	deepBGC	RiPP	0.56881		69622	70252	630	1	PF00398|PF01135|PF13649|PF13847	RiPP
GCF_011140795.1	contig_24	deepBGC	Polyketide	0.55606		75335	76088	753	1	PF00106|PF01370|PF08659|PF13561	Unknown
GCF_011140435.1	contig_28	antiSMASH	Terpene-precursor		No	1	9133	9133	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014497265.1	contig_20	deepBGC		0.51419		2135	3239	1104	1	PF01501	NRPS_like
GCF_014497265.1	contig_6	deepBGC		0.59832		394	2242	1848	1	PF02784	Unknown
GCF_014497265.1	contig_6	deepBGC		0.68169		3872	8974	5102	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02390|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_014497265.1	contig_8	deepBGC		0.63689		1	1441	1440	1	PF08885	Unknown
GCF_014497265.1	contig_8	deepBGC		0.51201		5063	5363	300	1	PF07883	Unknown
GCA_040861725	contig_2	GECCO	Unknown	0.9133841434251376		74261	81442	7181	9	PF00108|PF01041|PF06306|PF08541|PF08545	Unknown
GCF_001998205.1	contig_22	antiSMASH	Terpene-precursor		No	1	8006	8006	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821615.1	contig_60	antiSMASH	Terpene-precursor		No	1	7991	7991	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_040857585.1	contig_10	deepBGC		0.53998		43301	44489	1188	2	PF01209|PF03653|PF05425|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040857585.1	contig_13	deepBGC		0.54075		57525	58736	1211	3	PF00106|PF00550|PF08659|PF10501|PF13561|PF14573|PF16320	PKS
GCA_040857585.1	contig_15	deepBGC		0.6241		120931	123186	2255	5	PF01636|PF07714|PF13519|PF13672	Unknown
GCA_040857585.1	contig_5	deepBGC		0.51048		33619	33919	300	1	PF07883	Unknown
GCF_015904425.1	contig_13	deepBGC	Saccharide	0.8069		37853	46907	9054	8	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847|PF15919	Terpene
GCF_015904425.1	contig_30	deepBGC		0.55013		2	407	405	1	PF12284	Unknown
GCF_015904425.1	contig_30	deepBGC		0.5131		2435	2783	348	1	PF07510	Unknown
GCF_006339065.1	contig_1	antiSMASH	Terpene-precursor		Yes	1139750	1160661	20912	17	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639405.1	contig_19	antiSMASH	Terpene-precursor		No	1	74324	74324	77	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Pkinase|QueE	Terpene
GCF_037862375.1	contig_21	deepBGC		0.60181		651	3666	3015	5	PF00069|PF07714|PF13519|PF13672	Unknown
GCF_037862375.1	contig_6	deepBGC	Saccharide	0.67812		79120	85832	6712	6	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014498475.1	contig_7	antiSMASH	Terpene-precursor		No	1	9427	9427	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_015904225.1	contig_6	antiSMASH	Terpene-precursor		Yes	24986	45897	20912	18	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024406445.1	contig_4	deepBGC		0.69396		37922	46483	8561	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_040862225.1	contig_11	deepBGC	Saccharide	0.68685		37758	46348	8590	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_040862225.1	contig_7	deepBGC		0.71383		131145	133471	2326	5	PF00092|PF01636|PF07714|PF13519|PF13672	Unknown
GCF_011175275.1	contig_18	deepBGC		0.50495		16908	17673	765	1	PF02668	Unknown
GCF_011175275.1	contig_18	deepBGC		0.54029		18718	19213	495	1	PF00258|PF12641|PF12724	Unknown
GCF_011175275.1	contig_3	deepBGC	Saccharide	0.8191		38012	46581	8569	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_011175275.1	contig_5	deepBGC		0.55966		14750	15380	630	1	PF00398|PF01135|PF13489|PF13649|PF13847	RiPP
GCF_037862115.1	contig_24	antiSMASH	Terpene-precursor		No	1	7890	7890	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024411935.1	contig_16	deepBGC		0.55221		4139	4925	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_024411935.1	contig_2	deepBGC		0.58044		2467	5111	2644	5	PF01455|PF01924|PF02492|PF07883	Unknown
GCF_003639425.1	contig_11	deepBGC		0.72069		1783	10609	8826	11	PF00106|PF00266|PF00268|PF00398|PF01041|PF01073|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF05050|PF07993|PF08659|PF13460|PF13649|PF13847|PF16363	RiPP
GCF_003639425.1	contig_13	deepBGC		0.55485		174715	175219	504	1	PF01531	Unknown
GCF_003639425.1	contig_15	deepBGC		0.60523		600	4379	3779	3	PF01075|PF09233	Unknown
GCF_003639425.1	contig_17	deepBGC		0.56712		4300	5098	798	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_015904485.1	contig_6	antiSMASH	Terpene-precursor		No	1	8235	8235	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_034498235.1	contig_1	antiSMASH	Terpene-precursor		Yes	935210	956121	20912	17	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011175335.1	contig_21	antiSMASH	Terpene-precursor		No	1	8405	8405	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024407355.1	contig_44	deepBGC		0.68234		37695	43233	5538	5	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCA_024407355.1	contig_8	deepBGC		0.75778		16725	28796	12071	20	PF00070|PF00258|PF00342|PF00528|PF00890|PF01266|PF01494|PF02130|PF02521|PF02554|PF02668|PF03486|PF03597|PF05977|PF07690|PF07992|PF09335|PF12641|PF12724|PF12831|PF13347|PF13450|PF13722|PF13738|PF17561	Unknown
GCA_024407355.1	contig_8	deepBGC	RiPP	0.56081		29470	33216	3746	4	PF00005|PF00497|PF02463|PF03193|PF03215|PF07690|PF10613|PF13304|PF13555	RiPP
GCF_040821425.1	contig_58	antiSMASH	Terpene-precursor		No	1	8141	8141	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821265.1	contig_43	antiSMASH	Terpene-precursor		No	1	17698	17698	22	DAO|Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024411835.1	contig_4	antiSMASH	Terpene-precursor		Yes	47719	68630	20912	16	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014498275.1	contig_14	antiSMASH	Terpene-precursor		No	1	92440	92440	93	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024407035.1	contig_17	antiSMASH	Terpene-precursor		No	1	20028	20028	22	DAO|Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_037861965.1	contig_6	deepBGC		0.5347		43086	44300	1214	2	PF01209|PF03653|PF05425|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_037861965.1	contig_7	deepBGC	RiPP	0.56781		63239	63869	630	1	PF00398|PF01135|PF13649|PF13847	RiPP
GCF_003639265.1	contig_14	antiSMASH	Terpene-precursor		Yes	33795	54706	20912	20	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821835.1	contig_39	antiSMASH	Terpene-precursor		No	1	59566	59566	61	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821605.1	contig_13	antiSMASH	Terpene-precursor		No	1	24414	24414	19	ATP-grasp|ATP-grasp_3|Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821695.1	contig_10	antiSMASH	Terpene-precursor		No	1	28178	28178	28	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_040860965.1	contig_11	antiSMASH	Terpene-precursor		No	1	56603	56603	56	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Peptidase_M50|QueE	Terpene
GCF_015904325.1	contig_16	deepBGC		0.50329		1036	2146	1110	1	PF01501	NRPS_like
GCF_015904325.1	contig_21	deepBGC		0.51309		197	2045	1848	1	PF02784	Unknown
GCF_015904325.1	contig_21	deepBGC		0.6297		3678	7419	3741	3	PF00133|PF01406|PF01588|PF08003|PF08241|PF08242|PF09334|PF13489|PF13649|PF13847	Unknown
GCF_037861965.1	contig_10	antiSMASH	Terpene-precursor		No	1	57373	57373	58	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Peptidase_M50|QueE	Terpene
GCA_024411815.1	contig_11	antiSMASH	Terpene-precursor		Yes	57015	77926	20912	19	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040820835.1	contig_48	antiSMASH	Terpene-precursor		No	1	10191	10191	14	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_015904965.1	contig_17	deepBGC		0.75329		37606	46180	8574	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_024406995.1	contig_24	antiSMASH	Terpene-precursor		No	1	7947	7947	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821545.1	contig_29	antiSMASH	Terpene-precursor		No	1	8165	8165	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639675.1	contig_13	deepBGC		0.5438		38824	40032	1208	3	PF00106|PF00550|PF08659|PF10501|PF13561|PF14573|PF16320	PKS
GCF_003639675.1	contig_18	deepBGC		0.56952		424	3689	3265	3	PF01075	Unknown
GCF_003639675.1	contig_2	deepBGC		0.54566		115809	116316	507	1	PF01531	Unknown
GCF_003639675.1	contig_3	deepBGC		0.51093		10180	10966	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_003639675.1	contig_3	deepBGC		0.5301		14047	15217	1170	1	PF01135|PF01209|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_003639675.1	contig_5	deepBGC		0.59676		25278	26943	1665	2	PF00268|PF00398|PF01135|PF13489|PF13649|PF13847	RiPP
GCF_003639675.1	contig_5	deepBGC		0.50994		30844	31378	534	1	PF05050	Unknown
GCF_003639675.1	contig_6	deepBGC		0.62282		0	1377	1377	1	PF08885	Unknown
GCF_001998285.1	contig_11	antiSMASH	Terpene-precursor		No	1	52071	52071	39	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_036455175.1	contig_6	deepBGC		0.52328		47055	47808	753	1	PF00106|PF08659|PF13561	Unknown
GCF_036455175.1	contig_6	deepBGC		0.60238		52709	54374	1665	2	PF00268|PF00398|PF01135|PF13489|PF13649|PF13847	RiPP
GCF_036455175.1	contig_6	deepBGC		0.5027		58181	58685	504	1	PF05050	Unknown
GCF_036455175.1	contig_9	deepBGC		0.72665		37370	48882	11512	10	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014497825.1	contig_4	deepBGC		0.55835		0	4122	4122	4	PF02784|PF07510	Unknown
GCF_014497825.1	contig_4	deepBGC		0.65594		5752	10854	5102	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02390|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCA_040862365.1	contig_13	deepBGC		0.74741		37527	46094	8567	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_040862285.1	contig_10	deepBGC	Saccharide	0.75345		37531	46099	8568	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_040862285.1	contig_26	deepBGC		0.61182		1093	4790	3697	7	PF00871|PF01455|PF01924|PF02492|PF07883	Unknown
GCA_040862285.1	contig_5	deepBGC		0.71886		121421	123677	2256	5	PF01636|PF07714|PF13519|PF13672	Unknown
GCA_040861685.1	contig_12	deepBGC		0.7211		37672	46736	9064	9	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF07927|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847|PF15919	Terpene
GCA_040861865.1	contig_21	antiSMASH	Terpene-precursor		No	1	8330	8330	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_037861735.1	contig_12	antiSMASH	Terpene-precursor		No	1	38031	38031	41	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821325.1	contig_14	deepBGC		0.53889		76	1084	1008	1	PF00762	Unknown
GCF_040821325.1	contig_14	deepBGC	Polyketide	0.7184		11864	21927	10063	9	PF00106|PF00398|PF00920|PF01073|PF01081|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07719|PF07993|PF08238|PF08659|PF13489|PF13561|PF13649|PF13847|PF16363	RiPP
GCF_040821325.1	contig_14	deepBGC	NRP	0.55755		25130	27355	2225	2	PF00107|PF01262|PF01501|PF02826|PF03446|PF08240	NRPS_like
GCF_040821325.1	contig_43	deepBGC	Polyketide	0.511		1784	2948	1164	1	PF05977|PF07690|PF12832	Unknown
GCF_003639995.1	contig_22	antiSMASH	Terpene-precursor		No	1	8276	8276	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_037861895.1	contig_6	deepBGC		0.74264		78819	83908	5089	4	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_040821535.1	contig_51	deepBGC		0.84953		250	9012	8762	8	PF00106|PF00155|PF00266|PF00268|PF00398|PF01041|PF01053|PF01073|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07993|PF08659|PF13489|PF13561|PF13649|PF13847|PF16363	RiPP
GCF_040821535.1	contig_67	deepBGC	Polyketide	0.76811		192	3705	3513	5	PF00106|PF00109|PF00550|PF01039|PF02801|PF03255|PF08659|PF10501|PF13561|PF14573|PF16320	PKS
GCF_040821535.1	contig_80	deepBGC		0.58044		811	3449	2638	5	PF01455|PF01924|PF02492|PF07883	Unknown
GCA_040861185.1	contig_8	antiSMASH	Terpene-precursor		No	1	57566	57566	56	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_030062585.1	contig_1	antiSMASH	Terpene-precursor		Yes	1188326	1209237	20912	21	Fer4_12|GTP_cyclohydroI|Glyco_transf_9|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821795.1	contig_58	antiSMASH	Terpene-precursor		No	1	8129	8129	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639285.1	contig_21	antiSMASH	Terpene-precursor		No	1	8187	8187	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_015904475	contig_16	GECCO	Unknown	0.9946194702980732		5763	9175	3412	5	PF01041|PF06306	Unknown
GCA_040862325.1	contig_13	deepBGC		0.52579		9014	9800	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040862325.1	contig_15	deepBGC		0.53069		1108	2699	1591	5	PF13519|PF13672	Unknown
GCA_040862325.1	contig_16	deepBGC		0.60834		1	619	618	1	PF08885	Unknown
GCF_015904965.1	contig_11	antiSMASH	Terpene-precursor		No	1	57834	57834	59	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014497505.1	contig_14	antiSMASH	Terpene-precursor		No	1	9353	9353	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
